home_team,away_team,home_score,away_score
NE,KC,27,42
WAS,PHI,17,30
HOU,JAX,7,29
DET,ARI,35,23
TEN,OAK,16,26
CHI,ATL,17,23
CLE,PIT,18,21
BUF,NYJ,21,12
CIN,BAL,0,20
LA,IND,46,9
GB,SEA,17,9
SF,CAR,3,23
DAL,NYG,19,3
MIN,NO,29,19
DEN,LAC,24,21
CIN,HOU,9,13
NO,NE,20,36
IND,ARI,13,16
TB,CHI,29,7
JAX,TEN,16,37
PIT,MIN,26,9
KC,PHI,27,20
BAL,CLE,24,10
CAR,BUF,9,3
LAC,MIA,17,19
OAK,NYJ,45,20
LA,WAS,20,27
DEN,DAL,42,17
SEA,SF,12,9
ATL,GB,34,23
NYG,DET,10,24
SF,LA,39,41
JAX,BAL,44,7
NYJ,MIA,20,6
DET,ATL,26,30
MIN,TB,34,17
IND,CLE,31,28
BUF,DEN,26,16
NE,HOU,36,33
CHI,PIT,23,17
CAR,NO,13,34
PHI,NYG,27,24
TEN,SEA,33,27
LAC,KC,10,24
GB,CIN,27,24
WAS,OAK,27,10
ARI,DAL,17,28
GB,CHI,35,14
MIA,NO,0,20
BAL,PIT,9,26
NE,CAR,30,33
ATL,BUF,17,23
MIN,DET,7,14
CLE,CIN,7,31
HOU,TEN,57,14
DAL,LA,30,35
NYJ,JAX,23,20
TB,NYG,25,23
LAC,PHI,24,26
ARI,SF,18,15
DEN,OAK,16,10
SEA,IND,46,18
KC,WAS,29,20
TB,NE,14,19
MIA,TEN,16,10
PIT,JAX,9,30
PHI,ARI,34,7
CLE,NYJ,14,17
DET,CAR,24,27
CIN,BUF,20,16
NYG,LAC,22,27
IND,SF,26,23
OAK,BAL,17,30
LA,SEA,10,16
DAL,GB,31,35
HOU,KC,34,42
CHI,MIN,17,20
CAR,PHI,23,28
ATL,MIA,17,20
BAL,CHI,24,27
MIN,GB,23,10
NO,DET,52,38
WAS,SF,26,24
HOU,CLE,33,17
NYJ,NE,17,24
JAX,LA,17,27
ARI,TB,38,33
OAK,LAC,16,17
KC,PIT,13,19
DEN,NYG,10,23
TEN,IND,36,22
OAK,KC,31,30
BUF,TB,30,27
MIA,NYJ,31,28
CHI,CAR,17,3
MIN,BAL,24,16
IND,JAX,0,27
LA,ARI,33,0
GB,NO,17,26
CLE,TEN,9,12
SF,DAL,10,40
PIT,CIN,29,14
LAC,DEN,21,0
NYG,SEA,7,24
NE,ATL,23,7
PHI,WAS,34,24
BAL,MIA,40,0
CLE,MIN,16,33
BUF,OAK,34,14
NYJ,ATL,20,25
CIN,IND,24,23
NE,LAC,21,13
TB,CAR,3,17
NO,CHI,20,12
PHI,SF,33,10
SEA,HOU,41,38
WAS,DAL,19,33
DET,PIT,15,20
KC,DEN,29,19
NYJ,BUF,34,21
NYG,LA,17,51
PHI,DEN,51,23
CAR,ATL,20,17
NO,TB,30,10
JAX,CIN,23,7
TEN,BAL,23,20
HOU,IND,14,20
SF,ARI,10,20
SEA,WAS,14,17
DAL,KC,28,17
MIA,OAK,24,27
GB,DET,17,30
ARI,SEA,16,22
DET,CLE,38,24
WAS,MIN,30,38
BUF,NO,10,47
JAX,LAC,20,17
TEN,CIN,24,20
CHI,GB,16,23
TB,NYJ,15,10
IND,PIT,17,20
LA,HOU,33,7
SF,NYG,31,21
ATL,DAL,27,7
DEN,NE,16,41
CAR,MIA,45,21
PIT,TEN,40,17
GB,BAL,0,23
CHI,DET,24,27
NYG,KC,12,9
HOU,ARI,31,21
MIA,TB,20,30
NO,WAS,34,31
CLE,JAX,7,19
MIN,LA,24,7
LAC,BUF,54,24
DEN,CIN,17,20
OAK,NE,8,33
DAL,PHI,9,37
SEA,ATL,31,34
DET,MIN,23,30
DAL,LAC,6,28
WAS,NYG,20,10
IND,TEN,16,20
KC,BUF,10,16
ATL,TB,34,20
CIN,CLE,30,16
PHI,CHI,31,3
NYJ,CAR,27,35
NE,MIA,35,17
SF,SEA,13,24
LA,NO,26,20
ARI,JAX,27,24
OAK,DEN,21,14
PIT,GB,31,28
BAL,HOU,23,16
DAL,WAS,38,14
MIA,DEN,35,9
TEN,HOU,24,13
JAX,IND,30,10
BUF,NE,3,23
ATL,MIN,9,14
NYJ,KC,38,31
GB,TB,26,20
BAL,DET,44,20
CHI,SF,14,15
LAC,CLE,19,10
ARI,LA,16,32
NO,CAR,31,21
OAK,NYG,24,17
SEA,PHI,24,10
CIN,PIT,20,23
ATL,NO,20,17
NYG,DAL,10,30
CIN,CHI,7,33
CLE,GB,21,27
CAR,MIN,31,24
HOU,SF,16,26
BUF,IND,13,7
KC,OAK,26,15
TB,DET,21,24
ARI,TEN,12,7
DEN,NYJ,23,0
LAC,WAS,30,13
JAX,SEA,30,24
LA,PHI,35,43
PIT,BAL,39,38
MIA,NE,27,20
IND,DEN,13,25
DET,CHI,20,10
KC,LAC,30,13
MIN,CIN,34,7
BUF,MIA,24,16
NYG,PHI,29,34
NO,NYJ,31,19
CLE,BAL,10,27
WAS,ARI,20,15
CAR,GB,31,24
JAX,HOU,45,7
SEA,LA,7,42
SF,TEN,25,23
PIT,NE,24,27
OAK,DAL,17,20
TB,ATL,21,24
BAL,IND,23,16
GB,MIN,0,16
NYJ,LAC,7,14
CIN,DET,26,17
NE,BUF,37,16
NO,ATL,23,13
KC,MIA,29,13
CHI,CLE,20,3
WAS,DEN,27,11
TEN,LA,23,27
CAR,TB,22,19
SF,JAX,44,33
DAL,SEA,12,21
ARI,NYG,23,0
HOU,PIT,6,34
PHI,OAK,19,10
DET,GB,35,11
PHI,DAL,0,6
PIT,CLE,28,24
NYG,WAS,28,10
NE,NYJ,26,6
MIN,CHI,23,10
IND,HOU,22,13
LA,SF,13,34
MIA,BUF,16,22
SEA,ARI,24,26
DEN,KC,24,27
LAC,OAK,30,10
TEN,JAX,15,10
BAL,CIN,27,31
ATL,CAR,22,10
TB,NO,31,24
